step_count,total_count,cars_length,carNum0,carNum1,carNum2,bunsan,shelters[0].battery,shelters[1].battery,shelters[2].battery
955,11075,30,8,9,13,53025800328.458,123819,135704,183832,,,,1128,
955,11075,30,8,9,13,53025800328.458,123819,135704,183832,,,,1128,
955,10494,30,10,9,11,19889323511.313,161717,135704,146467,,,,1128,
955,10176,30,11,9,10,46602464575.227,170642,135704,137830,,,,1128,
955,10176,30,11,9,10,46602464575.227,170642,135704,137830,,,,1128,
955,9885,30,12,9,9,155193889230.75,190685,135704,118067,,,,1128,
914,9182,30,8,12,10,81368390363.505,126405,179214,139207,,,,4,
1239,9510,30,9,12,9,81881947693.413,137359,179214,127984,,,,4,
1244,9189,30,8,12,10,119782127792.79,118579,179214,146999,,,,4,
914,9182,30,8,12,10,81370743518.683,126403,179214,139207,,,,4,
1229,9185,30,8,12,10,109719778093.53,122891,179214,142693,,,,4,
914,8529,30,6,12,12,198370613103.59,88318,179214,177742,,,,4,
1239,9510,30,9,12,9,81881947693.413,137359,179214,127984,,,,4,
1242,9515,30,9,12,9,81884304486.179,137357,179214,127984,,,,4,
914,8857,30,7,12,11,109734840069.67,107094,179214,158728,,,,4,
1238,7783,30,7,12,11,282209874395.38,97951,192308,155777,,,,4,
1237,7458,30,6,12,12,426630979546.07,79968,192308,173994,,,,4,
911,7132,30,5,12,13,426630979546.07,61014,192308,193184,,,,4,
911,7817,30,7,12,11,234871808799.62,87148,192308,166471,,,,4,
1238,7783,30,7,12,11,282209874395.38,97951,192308,155777,,,,5,
1237,7458,30,6,12,12,426630979546.07,79968,192308,173994,,,,5,
911,7817,30,7,12,11,234871808799.62,87148,192308,166471,,,,5,
1238,7783,30,7,12,11,282209874395.38,97951,192308,155777,,,,5,
1237,7458,30,6,12,12,426630979546.07,79968,192308,173994,,,,5,
911,7132,30,5,12,13,426630979546.07,61014,192308,193184,,,,5,
1216,7437,30,6,12,12,426630979546.07,79987,192308,173994,,,,5,
1223,7444,30,6,12,12,426630979546.07,79981,192308,173994,,,,5,
911,7817,30,7,12,11,234871808799.62,87148,192308,166471,,,,5,
1216,7437,30,6,12,12,426630979546.07,79987,192308,173994,,,,5,
1223,7444,30,6,12,12,426630979546.07,79981,192308,173994,,,,5,
911,7494,30,6,12,12,300863326695.26,76210,192308,177705,,,,5,
914,9186,30,8,12,10,81379452723.473,126397,179214,139207,,,,11,
1242,9181,30,8,12,10,119753136402.24,118587,179214,146999,,,,11,
1246,9189,30,8,12,10,119773974474.02,118578,179214,146999,,,,11,
914,9187,30,8,12,10,81385429563.596,126393,179214,139207,,,,11,
1243,9182,30,8,12,10,119753136402.24,118590,179214,146999,,,,11,
914,8529,30,6,12,12,198370613103.59,88318,179214,177742,,,,11,
914,9187,30,8,12,10,81385429563.596,126393,179214,139207,,,,11,
1023,18804,60,19,19,22,12941739357.527,277477,288023,313699,,,,11,
1023,18804,60,19,19,22,12941739357.527,277477,288023,313699,,,,11,
1023,18981,60,19,19,22,2046149106.2695,284945,288023,306126,,,,11,
1023,18805,60,19,19,22,12939587042.881,277477,288023,313697,,,,11,
1023,18805,60,19,19,22,12939587042.881,277477,288023,313697,,,,11,
1023,18064,60,22,19,19,133780717790.97,329991,288023,261932,,,,11,
1064,20780,60,19,12,28,1202389608474.1,3241546.6842993,1981105.1019774,4665399.5289409,
1098,19859,60,19,14,27,826977541094.96,288137,208333,393087,,,,11,
1118,20258,60,19,16,25,374786540805.84,288137,239869,361171,,,,11,
1031,20257,60,19,16,25,277782602881.27,288137,252716,348320,,,,11,
1027,20253,60,19,16,25,277927094845.46,288137,252694,348320,,,,11,
944,21073,60,19,20,21,3489632705.4392,288137,299515,300601,,,,11,
